,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
88,A-n48-k7,784,"2-opt, shift-1, swap-2-2",1178.591535,1241.85336,39.3491167,2.902,"swap-1-1, shift-1, swap-2-2",1180.486932,1232.161241,31.02120806,2.677666667,0.328571074
89,A-n53-k7,784,"2-opt, shift-1, swap-2-2",1111.938343,1241.957088,80.34828309,3.075,"swap-1-1, shift-1, swap-2-2",1102.422822,1211.597966,40.93493221,2.805333333,0.120444728
90,A-n54-k7,784,"2-opt, shift-1, swap-2-2",1279.806005,1422.95839,67.27469471,3.027333333,"swap-1-1, shift-1, swap-2-2",1262.863111,1370.013336,38.53645395,2.789,0.001592702
91,A-n55-k9,784,"2-opt, shift-1, swap-2-2",1169.23782,1280.666381,69.55599191,3.424,"swap-1-1, shift-1, swap-2-2",1147.497384,1244.191846,52.51549057,3.121333333,0.054462504
92,A-n60-k9,784,"2-opt, shift-1, swap-2-2",1489.293142,1572.984448,43.89649337,3.467,"swap-1-1, shift-1, swap-2-2",1460.313348,1577.187178,43.12107373,3.153333333,0.544006208
93,A-n61-k9,784,"2-opt, shift-1, swap-2-2",1160.317027,1237.570402,43.18934174,3.588333333,"swap-1-1, shift-1, swap-2-2",1147.550712,1235.125317,41.10728398,3.347333333,0.926255087
94,A-n62-k8,784,"2-opt, shift-1, swap-2-2",1471.034264,1555.959338,50.39357261,3.311666667,"swap-1-1, shift-1, swap-2-2",1477.670861,1556.07288,51.2652226,2.998333333,0.78126371
95,A-n63-k10,784,"2-opt, shift-1, swap-2-2",1427.278119,1547.858882,59.53096538,3.709333333,"swap-1-1, shift-1, swap-2-2",1442.918896,1540.469877,56.09119785,3.363666667,0.614314564
96,A-n63-k9,784,"2-opt, shift-1, swap-2-2",1836.868664,1950.491278,88.92088298,3.547666667,"swap-1-1, shift-1, swap-2-2",1796.256858,1895.31534,50.76704285,3.293,0.003854236
97,A-n64-k9,784,"2-opt, shift-1, swap-2-2",1614.683154,1688.140206,52.38865201,3.507,"swap-1-1, shift-1, swap-2-2",1577.921722,1689.95711,48.6128224,3.226,0.571645784
